Command,Chromosome,Sample_Size,Time_Taken,Memory_Used_MB,Input_file_size
compress,20,5,0:01.79,107616,36680939
decompress,20,5,0:00.94,324916,2790235
random_access,20,5,0:00.09,53396,2790235
random_access,20,5,0:00.07,53404,2790235
random_access,20,5,0:00.09,53388,2790235
compress,20,10,0:02.18,113764,47402521
decompress,20,10,0:01.06,345916,3286642
random_access,20,10,0:00.07,56484,3286642
random_access,20,10,0:00.07,50008,3286642
random_access,20,10,0:00.08,56472,3286642
compress,20,10,0:02.10,114976,47402521
decompress,20,10,0:01.05,333868,3286632
random_access,20,10,0:00.10,56536,3286632
random_access,20,10,0:00.08,49388,3286632
random_access,20,10,0:00.11,56532,3286632
compress,20,10,0:02.30,116504,47402521
decompress,20,10,0:00.99,346688,3286631
random_access,20,10,0:00.08,56580,3286631
random_access,20,10,0:00.06,49280,3286631
random_access,20,10,0:00.10,55988,3286631
compress,20,15,0:02.71,125480,62535291
decompress,20,15,0:01.25,359000,3893785
random_access,20,15,0:00.08,56428,3893785
random_access,20,15,0:00.08,56420,3893785
random_access,20,15,0:00.11,56440,3893785
compress,20,15,0:02.50,119420,62535291
decompress,20,15,0:01.25,362836,3893775
random_access,20,15,0:00.09,56396,3893775
random_access,20,15,0:00.08,56396,3893775
random_access,20,15,0:00.11,56248,3893775
compress,20,15,0:02.58,133068,62535291
decompress,20,15,0:01.22,358652,3893775
random_access,20,15,0:00.07,56432,3893775
random_access,20,15,0:00.08,56408,3893775
random_access,20,15,0:00.08,56456,3893775
compress,20,25,0:02.79,135304,82703941
decompress,20,25,0:01.46,381660,4388656
random_access,20,25,0:00.08,56936,4388656
random_access,20,25,0:00.10,56836,4388656
random_access,20,25,0:00.11,56864,4388656
compress,20,25,0:02.81,134016,82703941
decompress,20,25,0:01.41,375960,4388656
random_access,20,25,0:00.08,56724,4388656
random_access,20,25,0:00.10,56912,4388656
random_access,20,25,0:00.08,56900,4388656
compress,20,25,0:02.86,130764,82703941
decompress,20,25,0:01.47,376896,4388656
random_access,20,25,0:00.07,56816,4388656
random_access,20,25,0:00.11,56812,4388656
random_access,20,25,0:00.08,56880,4388656
compress,20,50,0:03.51,200668,144021656
decompress,20,50,0:01.98,406760,5454248
random_access,20,50,0:00.08,56848,5454248
random_access,20,50,0:00.12,57056,5454248
random_access,20,50,0:00.09,57012,5454248
compress,20,50,0:03.94,170724,144021656
decompress,20,50,0:01.95,418848,5454248
random_access,20,50,0:00.12,56940,5454248
random_access,20,50,0:00.09,56728,5454248
random_access,20,50,0:00.08,56940,5454248
compress,20,50,0:04.26,169372,144021656
decompress,20,50,0:01.95,407112,5454248
random_access,20,50,0:00.09,56968,5454248
random_access,20,50,0:00.10,56996,5454248
random_access,20,50,0:00.12,56888,5454248
compress,20,100,0:07.21,274516,302465793
decompress,20,100,0:03.35,461304,7321265
random_access,20,100,0:00.15,56944,7321265
random_access,20,100,0:00.11,56944,7321265
random_access,20,100,0:00.10,57100,7321265
compress,20,100,0:05.83,273432,302465793
decompress,20,100,0:03.28,460980,7321265
random_access,20,100,0:00.09,56908,7321265
random_access,20,100,0:00.12,57048,7321265
random_access,20,100,0:00.12,57152,7321265
compress,20,100,0:07.34,266556,302465793
decompress,20,100,0:03.27,492460,7321265
random_access,20,100,0:00.10,57012,7321265
random_access,20,100,0:00.08,57036,7321265
random_access,20,100,0:00.10,57000,7321265
compress,20,150,0:09.58,310068,463495597
decompress,20,150,0:04.04,513432,8387948
random_access,20,150,0:00.11,57284,8387948
random_access,20,150,0:00.12,57132,8387948
random_access,20,150,0:00.11,57272,8387948
compress,20,150,0:10.78,355216,463495597
decompress,20,150,0:04.12,515864,8387948
random_access,20,150,0:00.10,57112,8387948
random_access,20,150,0:00.11,57096,8387948
random_access,20,150,0:00.10,57140,8387948
compress,20,150,0:09.48,300784,463495597
decompress,20,150,0:03.95,499940,8387948
random_access,20,150,0:00.13,57204,8387948
random_access,20,150,0:00.09,57168,8387948
random_access,20,150,0:00.12,57256,8387948
compress,20,200,0:14.37,319360,636820145
decompress,20,200,0:05.07,521296,9214128
random_access,20,200,0:00.06,35596,9214128
random_access,20,200,0:00.11,57200,9214128
random_access,20,200,0:00.11,57164,9214128
compress,20,200,0:13.91,316728,636820145
decompress,20,200,0:04.91,476976,9214128
random_access,20,200,0:00.07,35664,9214128
random_access,20,200,0:00.13,57312,9214128
random_access,20,200,0:00.12,57280,9214128
compress,20,200,0:12.73,314028,636820145
decompress,20,200,0:04.82,519632,9214128
